"genes","X30.deg","X37.deg","P_Value","Fold_Expression_Change"
"YFL012W",0.394983078278781,1.21843268877599,0.00196515129300212,3.08477186943187
"YIL012W",0.116927942268564,0.36022524107244,0.016331621668449,3.0807455778625
"YOR204W",52.4327200075108,161.025577343811,0.0383760157632845,3.07108952807988
"YGR043C",6.12407838190627,18.7027699072343,0.00179294052175506,3.05397298024337
"YBR250W",1.59110918741985,4.79472011430428,0.000208172836651341,3.01344505594831
"YJL144W",2.12359880325683,6.29578578213158,0.000990164315901419,2.96467758998363
"YFR023W",1.53970701411595,4.53274889969675,0.00148924024922351,2.94390352069631
"YFL014W",76.0050350156826,223.111326928563,0.0247481196099185,2.93548087810929
"YBR051W",0.0342803032463352,0.10060079934818,0.0460002384398096,2.93465313376231
"YLL046C",0.0833270314419544,0.243645500318992,0.0199492607678169,2.92396712210629
"YEL010W",0.359477885829981,1.04531314716714,0.000501919142628016,2.90786495740529
"YMR244W",0.990723675940517,2.86666214480975,0.00502601394137453,2.89350321833014
"YNL033W",0.133687912598029,0.381372261679669,0.00872792686685631,2.85270563559754
"YKR093W",16.5042844048373,46.2963789601505,6.34269689839231e-05,2.80511277099547
"YHR140W",2.20576201707494,6.14728933999803,0.00336858909482541,2.78692320042302
"YPL250C",10.6874372660072,29.5922057888566,0.000504195779797081,2.76887761324958
"YMR096W",7.3012384882027,19.7647495422739,0.00458337775152131,2.70704067182707
"YJL038C",1.62237608501494,4.38796438327494,0.000282919064370712,2.70465302330596
"YDR214W",40.7311708601938,109.147047070115,0.000951744093490219,2.67969333473748
"YOL131W",0.205552070636181,0.549195767380922,0.0472832377830735,2.67180848960153
"YLR054C",3.08077695986651,8.22264979855842,0.000789904825894952,2.6690182073144
"YOR100C",3.54342723179554,9.4567382368469,0.00169645696635531,2.66881118708763
"YNL205C",0.171361031147836,0.449194110439167,0.0139875280965906,2.62133174287239
"YDL182W",23.5336258676992,61.1361140708878,0.0127425536418383,2.59781958014381
"YMR175W",0.27276218587971,0.698571362176747,0.00554985868537012,2.56110046898078
"YNL034W",0.254558313747959,0.644192674643891,0.0019783774759631,2.53062909303254
"YLR255C",0.243099587139311,0.607731444063191,0.0334841097067449,2.49992791520013
"YJR095W",1.50750952000779,3.76049279719958,0.00585766026481919,2.49450683215596
"YNL128W",2.76238890579302,6.87380841081226,1.65004785596685e-05,2.48835650780278
"YPL025C",0.366048650632258,0.908875419060282,0.0122043512390923,2.48293612745307
"YCR050C",0.105469215659916,0.260894087534539,0.0351997279303315,2.47365153805437
