"genes","Glucose","Ethanol","P_Value","Fold_Expression_Change"
"YMR096W",248.131740681701,814.414715764634,3.99692542047749e-12,3.28218676710672
"YOR084W",23.594726060625,74.0385005602608,7.72281040354086e-07,3.13792583859732
"YLR214W",77.3035202410855,233.63198694163,1.24385326703601e-06,3.02226840657456
"YJR020W",0.070530147429013,0.212940577487932,0.0237188511863712,3.01914266806619
"YOR389W",26.103482872786,78.6808870852301,3.44162858346247e-11,3.01419115099228
"YBR050C",19.460157534276,58.4301215091037,2.09939722528437e-12,3.00255131060415
"YGR234W",309.274590155977,928.438912338055,3.27221885693625e-10,3.00198898289644
"YLR466W",0.262280694430408,0.784410246067608,0.00462848569449298,2.99072811199887
"YPL277C",44.4162183978863,129.332249752167,3.54426117332058e-11,2.9118248787772
"YGL149W",0.183949035055511,0.535147727502909,0.0016797239693973,2.90921736741601
"YLR374C",0.0586826838036884,0.169441226206531,0.0383103568535624,2.88741439933736
"YOR316C",180.058659543618,519.320119351752,3.55993050772528e-14,2.88417186192564
"YGR273C",0.071529272661603,0.206042962295008,0.0274611630582076,2.88054043649758
"YNL037C",334.696289089643,955.141461533333,1.41774627469436e-17,2.85375575609538
"YPL262W",555.503550645716,1549.77587043375,2.11937517338342e-16,2.7898577221195
"YEL060C",351.589549528036,973.628033505819,7.6542464007867e-08,2.76921778480842
"YJL089W",61.3256047179175,168.161876065917,3.54482413814943e-10,2.74211525250211
"YIL125W",343.177160863051,929.771579253636,1.66769004110105e-11,2.70930494592172
"YMR069W",1.32919928463121,3.57752266320799,9.51815733830784e-05,2.69148705131946
"YKL109W",164.244681424545,433.743907231346,1.21719342240649e-09,2.64083989490162
"YML038C",78.9911606388085,204.984385659643,7.52158143222363e-12,2.59502941850602
"YER069W",267.514211002617,692.043056679857,1.3427968692676e-10,2.58693941561515
"YAR035W",305.734882746894,789.748058248138,1.94351183730871e-05,2.58311400764151
"YKR013W",155.709511300473,401.804899113435,1.04497428882224e-09,2.58047755565857
"YOR235W",0.783234483558334,2.00231033954869,0.00134802701873412,2.55646346219582
"YPR123C",1.96171011631615,4.98715500304984,0.000119906077421669,2.54224870513239
"YOL011W",82.7399750947867,207.330296119779,2.33899558610266e-13,2.50580563847478
"YFR034C",22.9629107889804,57.0144646851101,1.27881264817887e-06,2.48289361958723
"YGR065C",600.917196236961,1485.59223391143,1.38337027585815e-11,2.47220789022921
"YKL086W",9.16545945040157,22.4966951315318,5.45656614657847e-05,2.45450817313322
"YBR047W",31.2902872808376,76.5760290030186,2.28669133739669e-08,2.44727791457237
"YFL064C",0.331014950014029,0.809957790961814,0.000491241032888161,2.44689187279151
"YGR250C",127.310224323427,310.70502948503,1.66937772805056e-14,2.44053477351273
"YPL163C",68.6218641998105,167.386685599599,2.57693398804228e-10,2.43926170691325
"YHR184W",3.51425271245868,8.55387589360364,9.05981154956795e-05,2.43405258343504
"YER053C",96.501843329036,233.532699052907,5.37895008015961e-14,2.4199817433191
"YGR067C",254.255027263468,613.597386961451,1.64906999499814e-13,2.41331466899815
"YER153C",3.09281344282318,7.43986967374616,0.000523751695784689,2.40553457597329
"YML087C",40.5424678240145,97.2432729829864,4.29655937488858e-12,2.39855337383745
"YCL030C",334.437565918187,800.820812914898,3.65570055505148e-16,2.39453008431117
"YLR168C",76.5936860612929,182.901183959704,2.91276019764931e-12,2.38794074766607
"YHL028W",10.2578606505733,24.3987485694214,9.08619001201713e-09,2.37854162778647
"YOR136W",344.33569663253,809.441758601297,1.89052875420441e-10,2.3507343749641
"YMR244W",5.96089047259431,14.010453487943,0.000355419005380677,2.35039606118536
"YDR089W",61.4609677907083,144.069909385063,8.154224361966e-07,2.34408787501787
"YBR012C",2.60060667960045,6.08131056435197,5.51401305447353e-05,2.33841995871759
"YDR033W",830.1839079806,1939.45340896294,5.81988258334318e-15,2.33617321453581
"YBR207W",131.617167811316,306.639057547918,2.44726388375178e-13,2.32978009363877
"YJR078W",30.7318761670455,71.5900559706025,2.83880989404344e-07,2.3295048952257
"YMR120C",351.82567101928,817.38187168524,8.20458861324523e-17,2.32325819010645
