"genes","X30.deg","X15.deg","P_Value","Fold_Expression_Change"
"YNL327W",156.435737541774,75.7493974723293,0.00369722180555513,0.48422054105189
"YJL066C",6.28676078362915,3.03888645186903,0.00779254692663574,0.483378731346411
"YNL082W",18.4260838867541,8.90420993763715,0.000586209606034107,0.483239411714504
"YNL304W",9.83803322336609,4.75159071369592,0.00111609223696178,0.482981771438881
"YEL025C",44.8474984276409,21.6348730455314,0.0114708351138191,0.482409806657068
"YMR163C",16.344132999903,7.86060384386766,0.00332679968229844,0.480943458053989
"YIL097W",10.1301067346332,4.87035661300766,0.0158666334060476,0.480780384707764
"YMR094W",5.74732130553698,2.76200801528923,0.0199983636451444,0.480573099789689
"YIL113W",5.59489799769762,2.68817272461238,0.000129129809143369,0.480468585078513
"YNL336W",5.44394180165805,2.612353591228,0.0371940738464977,0.479864349474192
"YIL029C",4.30259586206921,2.06043243035377,0.0130153898201992,0.478881237375351
"YOR264W",26.3781168656027,12.6231193216557,0.00725152224198715,0.478545128371782
"YIR031C",28.835933525338,13.7924263458614,0.0116787565633252,0.478306912926612
"YJL170C",8.65308961848366,4.1379472895926,0.0272474751935506,0.478204603446338
"YJR036C",6.725422437245,3.21202197059995,0.00141869605221586,0.477594084322787
"YER097W",0.550137929470202,0.262573918704029,0.0167716043374905,0.47728743036659
"YDR504C",2.92186716880099,1.39307081126434,0.0103444207572706,0.476774175821277
"YIL094C",87.4226365776632,41.6508938231783,0.005127429295069,0.476431453610726
"YOL113W",24.0894674456927,11.4642758273342,0.00620644841883975,0.475904079373247
"YPL264C",7.07771222029931,3.36673195100667,0.00438746799559299,0.475680819764143
"YLR047C",15.448375357664,7.34768929761181,0.00116064064831913,0.475628609966846
"YOR049C",11.2799418418006,5.36215523491719,0.0233968543856869,0.475370822839388
"YOR044W",9.77080905708787,4.64405686309693,0.0249620921000419,0.475299111461816
"YLR404W",10.6557567742984,5.06116003403937,0.00030879109435241,0.474969553194649
"YPL016W",17.360268451988,8.24154364766443,0.00102790817185413,0.474735956443154
"YGL193C",8.66157633003108,4.10138220553729,0.00648498059739872,0.47351452544696
"YJL005W",43.4856241862053,20.579215003332,0.00472078835130541,0.473241798604796
"YGR059W",1.32942892200876,0.629082648172692,0.00491188396352916,0.473197654841262
"YGL089C",4.29328861186669,2.03115451267383,0.0136898744020358,0.473099923228944
"YLR046C",8.6700555232507,4.10041829187239,0.0092340479374532,0.472940257519251
"YDR307W",23.2205793175878,10.979527628254,0.000994431370229541,0.472836076916387
"YJL094C",29.516745361206,13.8948094523008,0.0361018183032517,0.470743277494368
"YPL241C",14.9575021746355,7.03950074809369,0.00267496213461413,0.470633443064516
"YEL071W",253.393643572618,118.749193109664,0.0326475287816961,0.468635248443526
"YLR252W",6.07634305567792,2.84723923990573,0.00984843758731723,0.46857776360161
"YDR402C",1.15891337041117,0.54286011675635,0.0175276428151534,0.468421653090212
"YLR279W",1.78707047478089,0.836727779040067,0.0274832018099444,0.468211965251486
"YKL035W",134.913084728051,63.1539835059513,0.031742019560817,0.468108661463438
"YPL253C",15.8151965964219,7.40305192652145,0.000863171643850049,0.468097369601864
"YBR280C",11.6712594086816,5.4613789617604,0.00577578505718614,0.467933988143386
"YBL075C",18.6860181738925,8.74345063586942,0.0168289587744635,0.467914060368703
"YDR080W",22.5227640203289,10.5316829748475,0.00951401477672467,0.467601710222674
"YGL183C",0.633509592791151,0.29610859339928,0.0453383639743857,0.467409802106814
"YML054C",13.0009602687595,6.0728642487069,0.00877910933649514,0.467108899894081
"YBR070C",15.1073881110853,7.04729593950835,0.00209396065871583,0.466480101503269
"YKR058W",17.807955030444,8.30393985646197,0.00324393574160642,0.466305077829868
"YMR055C",12.3302701888562,5.74896822196393,0.025174042501469,0.466248357409046
"YGR149W",22.172701534195,10.3300427882937,0.00211173842167259,0.465890129462239
"YLR112W",3.73926776180604,1.73962051110403,0.0205219055223037,0.465230259483692
"YGR131W",2.5323308248835,1.17743750792984,0.00249697090397279,0.464961961667867
"YGR110W",8.39166891088044,3.88733320427411,0.00138113913503615,0.463237199364942
"YNL037C",51.212759392618,23.7092262079295,0.000644940483368384,0.462955452686407
"YOR226C",10.716615362182,4.96024811077905,0.00641611299720203,0.462855849831406
"YBR161W",19.3824305374867,8.96783831325507,3.98760098594345e-05,0.462678728341669
"YCR020C",6.58029984342254,3.04244816292884,0.007812019292978,0.462357071155348
"YJR061W",19.5885655234141,9.04074181443037,0.00776028990456,0.461531591153218
