"genes","wildtype","Biofuel.Production.Strain","P_Value","Fold_Expression_Change"
"YDL248W",15.9570319858109,304.574218457953,6.25297427086106e-07,19.0871472043662
"YGL188C",8.52515201013598,162.08695639458,0.000161779891794363,19.0127936958622
"YOL152W",13.3831562073888,252.294177803451,0.00212693018512379,18.851620192863
"YJL089W",3.36203445232178,62.9946953278054,1.52714578849626e-05,18.737076083293
"YMR271C",9.97780350140188,185.226094352293,2.46878915816249e-05,18.563814603712
"YNL196C",3.18317538626071,58.9802440088202,9.64466009310005e-05,18.5287446816132
"YKL086W",2.00889814962795,36.6531792559207,1.00335271639684e-05,18.2454144142195
"YLR411W",15.0601737246962,272.05242309804,0.00157094386848869,18.0643615453067
"YNL160W",240.225593383896,4319.4700110377,4.61066871517158e-06,17.9808901715768
"YBR285W",1.42148381062649,25.4163129538229,0.00016200365017495,17.8801283305655
"YNL134C",46.2549750212606,825.841605310348,4.93733801959245e-07,17.8541141775724
"YBR076W",5.31144499774343,93.6019628288155,2.37034033854148e-05,17.6226926699951
"YJL038C",1.86904923302268,32.817777956211,0.000151934034365467,17.5585411964441
"YIL082W",4.50721917481262,78.9513396081914,1.72688417626945e-05,17.5166408701378
"YGL183C",0.618313819128268,10.6563657268731,0.00335256976417587,17.2345585642854
"YPL264C",3.41497676061547,58.1176364113469,1.9467089001597e-05,17.0184573674441
"YPR015C",2.2784130455356,38.7476817418813,6.09038117098076e-09,17.0064342889033
"YLL061W",20.9979661197832,355.669602974886,0.000685986052888408,16.9382882582991
"YBR132C",19.9702834290494,333.534985053448,0.000216020704526356,16.701564914611
"YGL260W",0.105970358596171,1.75299400709403,6.89402958861433e-06,16.542305134347
"YOR268C",0.220420394312369,3.63020977841929,0.000246218132743099,16.4694822806402
"YJR010W",14.7663689997432,240.97314669937,0.00780835565749398,16.3190522127383
"YPL025C",0.404503433331207,6.59341120411651,0.00732452328640799,16.3000129561764
"YBL015W",46.6557675227196,760.326733419328,2.02717617867725e-06,16.2965218190672
"YNL270C",0.795513688689649,12.9452226517036,6.06110245901992e-05,16.2727842848646
"YPR007C",1.25543745843398,20.3159577742702,1.639824957985e-07,16.1823734330917
